parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"z_innov_s[AL, 2016-04-03 00:00:00]",0.675,0.951,-1.134,2.43,0.009,0.013,12171.0,4493.0,1.0
"z_innov_s[AL, 2016-04-10 00:00:00]",0.615,0.95,-1.163,2.412,0.009,0.014,10107.0,4472.0,1.0
"z_innov_s[AL, 2016-04-17 00:00:00]",0.621,0.93,-1.154,2.338,0.009,0.014,10109.0,4213.0,1.0
"z_innov_s[AL, 2016-04-24 00:00:00]",0.57,0.954,-1.235,2.4,0.009,0.014,12147.0,4211.0,1.0
"z_innov_s[AL, 2016-05-01 00:00:00]",0.483,0.904,-1.232,2.162,0.009,0.013,10740.0,4419.0,1.0
"z_innov_s[AL, 2016-05-08 00:00:00]",0.402,0.915,-1.311,2.095,0.008,0.013,11865.0,4394.0,1.0
"z_innov_s[AL, 2016-05-15 00:00:00]",0.312,0.929,-1.431,2.059,0.009,0.014,10200.0,4281.0,1.0
"z_innov_s[AL, 2016-05-22 00:00:00]",0.259,0.921,-1.425,2.041,0.008,0.012,11754.0,4561.0,1.0
"z_innov_s[AL, 2016-05-29 00:00:00]",0.199,0.93,-1.487,1.949,0.009,0.015,11146.0,4426.0,1.0
"z_innov_s[AL, 2016-06-05 00:00:00]",0.15,0.934,-1.541,1.919,0.009,0.013,10915.0,4658.0,1.0
"z_innov_s[AL, 2016-06-12 00:00:00]",0.142,0.948,-1.696,1.885,0.009,0.014,10169.0,4227.0,1.0
"z_innov_s[AL, 2016-06-19 00:00:00]",0.069,0.95,-1.802,1.825,0.009,0.015,12136.0,4181.0,1.0
"z_innov_s[AL, 2016-06-26 00:00:00]",0.049,0.936,-1.689,1.827,0.009,0.014,10918.0,4639.0,1.0
"z_innov_s[AL, 2016-07-03 00:00:00]",0.014,0.94,-1.795,1.697,0.009,0.013,10455.0,4284.0,1.0
"z_innov_s[AL, 2016-07-10 00:00:00]",-0.122,0.98,-1.978,1.652,0.009,0.014,11399.0,4263.0,1.0
"z_innov_s[AL, 2016-07-17 00:00:00]",-0.166,0.947,-1.949,1.577,0.008,0.014,13365.0,4357.0,1.0
"z_innov_s[AL, 2016-07-24 00:00:00]",-0.229,0.956,-1.979,1.581,0.009,0.013,10168.0,4270.0,1.0
"z_innov_s[AL, 2016-07-31 00:00:00]",-0.24,0.915,-1.943,1.477,0.009,0.012,9896.0,4346.0,1.0
"z_innov_s[AL, 2016-08-07 00:00:00]",-0.25,0.958,-2.01,1.608,0.009,0.015,10844.0,4113.0,1.0
"z_innov_s[AL, 2016-08-14 00:00:00]",-0.294,0.961,-2.08,1.525,0.01,0.013,9400.0,4396.0,1.0
"z_innov_s[AL, 2016-08-21 00:00:00]",-0.407,0.926,-2.128,1.314,0.009,0.013,10355.0,3518.0,1.0
"z_innov_s[AL, 2016-08-28 00:00:00]",-0.391,0.944,-2.151,1.399,0.009,0.013,10836.0,4654.0,1.0
"z_innov_s[AL, 2016-09-04 00:00:00]",-0.364,0.944,-2.133,1.422,0.009,0.015,11286.0,4283.0,1.0
"z_innov_s[AL, 2016-09-11 00:00:00]",-0.318,0.958,-2.113,1.432,0.009,0.013,10339.0,4428.0,1.0
"z_innov_s[AL, 2016-09-18 00:00:00]",-0.309,0.919,-1.978,1.486,0.008,0.013,12412.0,4319.0,1.0
"z_innov_s[AL, 2016-09-25 00:00:00]",-0.351,0.957,-2.188,1.414,0.009,0.013,11729.0,4637.0,1.0
"z_innov_s[AL, 2016-10-02 00:00:00]",-0.343,0.942,-2.071,1.414,0.009,0.013,11775.0,4283.0,1.0
"z_innov_s[AL, 2016-10-09 00:00:00]",-0.398,0.95,-2.173,1.39,0.009,0.014,11176.0,4394.0,1.0
"z_innov_s[AL, 2016-10-16 00:00:00]",-0.339,0.956,-2.14,1.409,0.009,0.013,10744.0,4780.0,1.0
"z_innov_s[AL, 2016-10-23 00:00:00]",-0.298,0.968,-1.962,1.648,0.009,0.014,10643.0,4232.0,1.0
"z_innov_s[AL, 2016-10-30 00:00:00]",-0.309,0.947,-2.128,1.403,0.009,0.013,10181.0,4116.0,1.0
"z_innov_s[AL, 2016-11-06 00:00:00]",-0.293,0.968,-2.033,1.537,0.009,0.013,10631.0,4756.0,1.0
"z_innov_s[AL, 2016-11-13 00:00:00]",-0.242,0.933,-2.007,1.587,0.009,0.014,11086.0,4400.0,1.0
"z_innov_s[AL, 2016-11-20 00:00:00]",-0.256,0.955,-2.067,1.505,0.009,0.015,11902.0,4204.0,1.0
"z_innov_s[AL, 2016-11-27 00:00:00]",-0.195,0.964,-1.935,1.655,0.01,0.013,10263.0,4179.0,1.0
"z_innov_s[AL, 2016-12-04 00:00:00]",-0.203,0.974,-1.993,1.702,0.009,0.014,11430.0,3774.0,1.0
"z_innov_s[AL, 2016-12-11 00:00:00]",-0.239,0.945,-1.958,1.595,0.009,0.013,11423.0,4479.0,1.0
"z_innov_s[AL, 2016-12-18 00:00:00]",-0.212,0.954,-1.994,1.554,0.009,0.014,11331.0,4255.0,1.0
"z_innov_s[AL, 2016-12-25 00:00:00]",-0.218,0.95,-1.966,1.536,0.009,0.014,11196.0,4368.0,1.0
"z_innov_s[AL, 2017-01-01 00:00:00]",-0.231,0.954,-2.008,1.558,0.009,0.013,10459.0,4461.0,1.0
"z_innov_s[AL, 2017-01-08 00:00:00]",-0.235,0.969,-1.953,1.642,0.009,0.015,11681.0,3949.0,1.0
"z_innov_s[AL, 2017-01-15 00:00:00]",-0.266,0.945,-2.137,1.489,0.009,0.015,10878.0,3808.0,1.0
"z_innov_s[AL, 2017-01-22 00:00:00]",-0.333,0.931,-2.103,1.387,0.008,0.012,12071.0,4846.0,1.0
"z_innov_s[AL, 2017-01-29 00:00:00]",-0.334,0.946,-2.158,1.361,0.009,0.015,10890.0,4245.0,1.0
"z_innov_s[AL, 2017-02-05 00:00:00]",-0.393,0.947,-2.063,1.465,0.009,0.014,10035.0,4247.0,1.0
"z_innov_s[AL, 2017-02-12 00:00:00]",-0.396,0.939,-2.145,1.338,0.009,0.013,11003.0,4325.0,1.0
"z_innov_s[AL, 2017-02-19 00:00:00]",-0.277,0.955,-2.073,1.513,0.009,0.014,10854.0,4211.0,1.0
"z_innov_s[AL, 2017-02-26 00:00:00]",-0.2,0.984,-2.105,1.598,0.009,0.013,11240.0,4822.0,1.0
"z_innov_s[AL, 2017-03-05 00:00:00]",-0.107,0.957,-1.901,1.721,0.009,0.014,11054.0,4425.0,1.0
"z_innov_s[AL, 2017-03-12 00:00:00]",-0.026,0.948,-1.825,1.713,0.009,0.014,10297.0,4350.0,1.0
"z_innov_s[AL, 2017-03-19 00:00:00]",0.092,0.945,-1.654,1.871,0.009,0.014,11567.0,4410.0,1.0
"z_innov_s[AL, 2017-03-26 00:00:00]",-0.011,0.942,-1.819,1.701,0.009,0.016,10713.0,4083.0,1.0
"z_innov_s[AL, 2017-04-02 00:00:00]",-0.083,0.952,-1.787,1.771,0.009,0.015,12361.0,3775.0,1.0
"z_innov_s[AL, 2017-04-09 00:00:00]",-0.061,0.948,-1.832,1.749,0.009,0.014,11431.0,4270.0,1.0
"z_innov_s[AL, 2017-04-16 00:00:00]",-0.092,0.95,-1.798,1.789,0.01,0.013,9924.0,4318.0,1.0
"z_innov_s[AL, 2017-04-23 00:00:00]",-0.131,0.946,-2.036,1.544,0.009,0.013,10255.0,4323.0,1.0
"z_innov_s[AL, 2017-04-30 00:00:00]",-0.114,0.946,-1.811,1.739,0.009,0.014,11481.0,3703.0,1.0
"z_innov_s[AL, 2017-05-07 00:00:00]",-0.178,0.94,-2.05,1.512,0.009,0.014,10364.0,4305.0,1.0
"z_innov_s[AL, 2017-05-14 00:00:00]",-0.061,0.941,-1.92,1.575,0.009,0.013,10497.0,4382.0,1.0
"z_innov_s[AL, 2017-05-21 00:00:00]",0.033,0.943,-1.79,1.77,0.009,0.013,10242.0,4365.0,1.0
"z_innov_s[AL, 2017-05-28 00:00:00]",0.044,0.931,-1.633,1.882,0.009,0.013,11486.0,4715.0,1.0
"z_innov_s[AL, 2017-06-04 00:00:00]",0.176,0.945,-1.597,1.951,0.008,0.014,12390.0,4398.0,1.0
"z_innov_s[AL, 2017-06-11 00:00:00]",0.135,0.938,-1.61,1.913,0.009,0.013,11394.0,4429.0,1.0
"z_innov_s[AL, 2017-06-18 00:00:00]",0.163,0.945,-1.658,1.918,0.009,0.013,9981.0,4058.0,1.0
"z_innov_s[AL, 2017-06-25 00:00:00]",0.14,0.937,-1.576,1.922,0.009,0.014,10225.0,4262.0,1.0
"z_innov_s[AL, 2017-07-02 00:00:00]",0.205,0.932,-1.532,1.979,0.009,0.013,11810.0,4276.0,1.0
"z_innov_s[AL, 2017-07-09 00:00:00]",0.084,0.946,-1.632,1.888,0.008,0.014,12692.0,4532.0,1.0
"z_innov_s[AL, 2017-07-16 00:00:00]",0.005,0.926,-1.719,1.711,0.009,0.013,11222.0,4532.0,1.0
"z_innov_s[AL, 2017-07-23 00:00:00]",0.02,0.934,-1.724,1.793,0.009,0.014,10688.0,4293.0,1.0
"z_innov_s[AL, 2017-07-30 00:00:00]",-0.026,0.935,-1.74,1.734,0.009,0.014,11097.0,4179.0,1.0
"z_innov_s[AL, 2017-08-06 00:00:00]",-0.012,0.934,-1.736,1.747,0.009,0.013,10625.0,4533.0,1.0
"z_innov_s[AL, 2017-08-13 00:00:00]",0.025,0.925,-1.693,1.718,0.008,0.015,14183.0,4447.0,1.0
"z_innov_s[AL, 2017-08-20 00:00:00]",-0.086,0.95,-1.885,1.652,0.009,0.014,10960.0,4062.0,1.0
"z_innov_s[AL, 2017-08-27 00:00:00]",-0.202,0.968,-1.995,1.611,0.009,0.015,11045.0,4277.0,1.0
"z_innov_s[AL, 2017-09-03 00:00:00]",-0.077,0.952,-1.878,1.709,0.009,0.013,11166.0,4489.0,1.0
"z_innov_s[AL, 2017-09-10 00:00:00]",0.02,0.957,-1.676,1.889,0.009,0.014,12004.0,4323.0,1.0
"z_innov_s[AL, 2017-09-17 00:00:00]",-0.106,0.937,-1.82,1.658,0.008,0.015,12401.0,4053.0,1.0
"z_innov_s[AL, 2017-09-24 00:00:00]",-0.033,0.975,-1.881,1.728,0.009,0.013,11818.0,4652.0,1.0
"z_innov_s[AL, 2017-10-01 00:00:00]",-0.084,0.938,-1.876,1.668,0.009,0.013,12063.0,4494.0,1.0
"z_innov_s[AL, 2017-10-08 00:00:00]",-0.057,0.959,-1.832,1.747,0.01,0.013,9737.0,4338.0,1.0
"z_innov_s[AL, 2017-10-15 00:00:00]",-0.192,0.966,-1.958,1.652,0.01,0.014,10201.0,4410.0,1.0
"z_innov_s[AL, 2017-10-22 00:00:00]",-0.129,0.95,-1.93,1.651,0.009,0.013,10188.0,4491.0,1.0
"z_innov_s[AL, 2017-10-29 00:00:00]",-0.049,0.957,-1.766,1.784,0.009,0.015,12075.0,3908.0,1.0
"z_innov_s[AL, 2017-11-05 00:00:00]",-0.13,0.926,-1.788,1.682,0.009,0.013,10367.0,4592.0,1.0
"z_innov_s[AL, 2017-11-12 00:00:00]",-0.046,0.959,-1.85,1.67,0.01,0.014,9930.0,4243.0,1.0
"z_innov_s[AL, 2017-11-19 00:00:00]",-0.192,0.969,-1.96,1.658,0.009,0.015,11764.0,4223.0,1.0
"z_innov_s[AL, 2017-11-26 00:00:00]",-0.175,0.95,-1.942,1.59,0.009,0.015,12421.0,4356.0,1.0
"z_innov_s[AL, 2017-12-03 00:00:00]",-0.024,0.952,-1.875,1.742,0.009,0.014,10814.0,4214.0,1.0
"z_innov_s[AL, 2017-12-10 00:00:00]",0.06,0.937,-1.621,1.905,0.009,0.013,11405.0,4570.0,1.0
"z_innov_s[AL, 2017-12-17 00:00:00]",-0.0,0.954,-1.775,1.801,0.009,0.014,11922.0,4179.0,1.0
"z_innov_s[AL, 2017-12-24 00:00:00]",0.067,0.945,-1.747,1.773,0.009,0.013,11845.0,4566.0,1.0
"z_innov_s[AL, 2017-12-31 00:00:00]",0.118,0.937,-1.593,1.896,0.009,0.013,10902.0,4820.0,1.0
"z_innov_s[AL, 2018-01-07 00:00:00]",-0.043,0.943,-1.826,1.75,0.008,0.013,12462.0,4402.0,1.0
"z_innov_s[AL, 2018-01-14 00:00:00]",-0.208,0.937,-1.889,1.59,0.009,0.013,9759.0,4320.0,1.0
"z_innov_s[AL, 2018-01-21 00:00:00]",-0.177,0.962,-2.072,1.541,0.01,0.015,9649.0,3799.0,1.0
"z_innov_s[AL, 2018-01-28 00:00:00]",-0.199,0.95,-1.99,1.539,0.009,0.013,10430.0,4655.0,1.0
"z_innov_s[AL, 2018-02-04 00:00:00]",-0.32,0.946,-2.134,1.409,0.009,0.013,10230.0,4453.0,1.0
"z_innov_s[AL, 2018-02-11 00:00:00]",-0.196,0.953,-1.907,1.626,0.009,0.013,10914.0,4410.0,1.0
"z_innov_s[AL, 2018-02-18 00:00:00]",-0.177,0.955,-1.898,1.669,0.009,0.013,11659.0,4803.0,1.0
"z_innov_s[AL, 2018-02-25 00:00:00]",-0.074,0.935,-1.921,1.614,0.009,0.014,9730.0,3994.0,1.0
"z_innov_s[AL, 2018-03-04 00:00:00]",-0.128,0.983,-1.959,1.719,0.009,0.014,10952.0,4463.0,1.0
"z_innov_s[AL, 2018-03-11 00:00:00]",-0.061,0.955,-1.892,1.654,0.008,0.015,12710.0,3952.0,1.0
"z_innov_s[AL, 2018-03-18 00:00:00]",-0.066,0.945,-1.813,1.691,0.009,0.013,11597.0,4948.0,1.0
"z_innov_s[AL, 2018-03-25 00:00:00]",-0.008,0.972,-1.925,1.702,0.009,0.014,11880.0,4313.0,1.0
"z_innov_s[AL, 2018-04-01 00:00:00]",-0.047,0.952,-1.822,1.749,0.009,0.014,11600.0,4302.0,1.0
"z_innov_s[AL, 2018-04-08 00:00:00]",0.029,0.936,-1.811,1.707,0.009,0.013,10875.0,4229.0,1.0
"z_innov_s[AL, 2018-04-15 00:00:00]",0.181,0.94,-1.587,1.94,0.009,0.014,10260.0,4282.0,1.0
"z_innov_s[AL, 2018-04-22 00:00:00]",0.022,0.953,-1.729,1.904,0.008,0.013,13775.0,4855.0,1.0
"z_innov_s[AL, 2018-04-29 00:00:00]",0.126,0.967,-1.687,1.954,0.009,0.014,11059.0,4398.0,1.0
"z_innov_s[AL, 2018-05-06 00:00:00]",0.155,0.971,-1.767,1.892,0.009,0.014,11211.0,4074.0,1.0
"z_innov_s[AL, 2018-05-13 00:00:00]",0.128,0.939,-1.649,1.853,0.009,0.013,10244.0,4433.0,1.0
"z_innov_s[AL, 2018-05-20 00:00:00]",0.232,0.963,-1.539,2.051,0.01,0.014,9354.0,4591.0,1.0
"z_innov_s[AL, 2018-05-27 00:00:00]",0.342,0.962,-1.44,2.153,0.009,0.013,11441.0,4736.0,1.0
"z_innov_s[AL, 2018-06-03 00:00:00]",0.333,0.956,-1.405,2.217,0.009,0.014,10369.0,4632.0,1.0
"z_innov_s[AL, 2018-06-10 00:00:00]",0.361,0.964,-1.411,2.223,0.009,0.015,12493.0,4414.0,1.0
"z_innov_s[AL, 2018-06-17 00:00:00]",0.217,0.965,-1.66,1.943,0.009,0.013,10545.0,4713.0,1.0
"z_innov_s[AL, 2018-06-24 00:00:00]",0.219,0.952,-1.586,1.942,0.009,0.013,11002.0,4816.0,1.0
"z_innov_s[AL, 2018-07-01 00:00:00]",0.205,0.943,-1.597,1.986,0.009,0.013,11869.0,4786.0,1.0
"z_innov_s[AL, 2018-07-08 00:00:00]",0.176,0.978,-1.671,1.999,0.01,0.015,9500.0,4338.0,1.0
"z_innov_s[AL, 2018-07-15 00:00:00]",0.192,0.946,-1.577,1.979,0.009,0.014,10457.0,4344.0,1.0
"z_innov_s[AL, 2018-07-22 00:00:00]",0.114,0.938,-1.59,1.883,0.009,0.013,10266.0,4459.0,1.0
"z_innov_s[AL, 2018-07-29 00:00:00]",0.221,0.975,-1.598,2.028,0.009,0.016,11101.0,4393.0,1.0
"z_innov_s[AL, 2018-08-05 00:00:00]",0.218,0.939,-1.584,1.921,0.009,0.014,11170.0,4274.0,1.0
"z_innov_s[AL, 2018-08-12 00:00:00]",0.183,0.956,-1.541,2.015,0.009,0.014,10890.0,4063.0,1.0
"z_innov_s[AL, 2018-08-19 00:00:00]",0.201,0.93,-1.609,1.893,0.009,0.013,10161.0,4420.0,1.0
"z_innov_s[AL, 2018-08-26 00:00:00]",0.131,0.929,-1.564,1.91,0.009,0.014,11458.0,4637.0,1.0
"z_innov_s[AL, 2018-09-02 00:00:00]",0.083,0.954,-1.687,1.88,0.009,0.014,11237.0,4345.0,1.0
"z_innov_s[AL, 2018-09-09 00:00:00]",0.007,0.965,-1.83,1.797,0.009,0.014,11506.0,4295.0,1.0
"z_innov_s[AL, 2018-09-16 00:00:00]",0.052,0.941,-1.707,1.842,0.009,0.014,10232.0,4112.0,1.0
"z_innov_s[AL, 2018-09-23 00:00:00]",0.05,0.979,-1.808,1.846,0.009,0.014,11062.0,4538.0,1.0
"z_innov_s[AL, 2018-09-30 00:00:00]",0.077,0.953,-1.746,1.819,0.009,0.013,10907.0,4294.0,1.0
"z_innov_s[AL, 2018-10-07 00:00:00]",0.102,0.941,-1.68,1.858,0.009,0.013,11398.0,4688.0,1.0
"z_innov_s[AL, 2018-10-14 00:00:00]",0.037,0.966,-1.817,1.785,0.009,0.014,11870.0,4359.0,1.0
"z_innov_s[AL, 2018-10-21 00:00:00]",-0.093,0.935,-1.814,1.682,0.008,0.014,12848.0,4127.0,1.0
"z_innov_s[AL, 2018-10-28 00:00:00]",-0.268,0.927,-1.925,1.552,0.008,0.014,12908.0,4311.0,1.0
"z_innov_s[AL, 2018-11-04 00:00:00]",-0.329,0.958,-2.179,1.444,0.009,0.014,10439.0,4093.0,1.0
"z_innov_s[AL, 2018-11-11 00:00:00]",-0.19,0.954,-2.093,1.511,0.01,0.012,9629.0,4533.0,1.0
"z_innov_s[AL, 2018-11-18 00:00:00]",-0.173,0.952,-1.88,1.669,0.009,0.013,10224.0,4719.0,1.0
"z_innov_s[AL, 2018-11-25 00:00:00]",-0.183,0.978,-2.124,1.543,0.009,0.015,10832.0,4145.0,1.0
"z_innov_s[AL, 2018-12-02 00:00:00]",-0.141,0.978,-1.918,1.696,0.009,0.015,12271.0,4272.0,1.0
"z_innov_s[AL, 2018-12-09 00:00:00]",-0.051,0.966,-1.92,1.756,0.009,0.013,10433.0,4703.0,1.0
"z_innov_s[AL, 2018-12-16 00:00:00]",0.025,0.956,-1.769,1.753,0.009,0.015,10907.0,4090.0,1.0
"z_innov_s[AL, 2018-12-23 00:00:00]",-0.054,0.946,-1.814,1.694,0.009,0.014,11051.0,4141.0,1.0
"z_innov_s[AL, 2018-12-30 00:00:00]",-0.118,0.982,-1.876,1.787,0.01,0.014,10230.0,4584.0,1.0
"z_innov_s[AL, 2019-01-06 00:00:00]",0.013,0.95,-1.692,1.83,0.009,0.013,10235.0,4442.0,1.0
"z_innov_s[AL, 2019-01-13 00:00:00]",0.04,0.98,-1.779,1.913,0.009,0.014,12927.0,4458.0,1.0
"z_innov_s[AL, 2019-01-20 00:00:00]",0.022,0.963,-1.82,1.819,0.01,0.014,10132.0,4502.0,1.0
"z_innov_s[AL, 2019-01-27 00:00:00]",0.003,0.951,-1.84,1.73,0.009,0.014,11621.0,4302.0,1.0
"z_innov_s[AL, 2019-02-03 00:00:00]",-0.111,0.939,-1.89,1.626,0.009,0.014,12098.0,4136.0,1.0
"z_innov_s[AL, 2019-02-10 00:00:00]",-0.048,0.95,-1.823,1.704,0.009,0.013,10096.0,4707.0,1.0
"z_innov_s[AL, 2019-02-17 00:00:00]",0.027,0.958,-1.667,1.928,0.009,0.014,10684.0,4263.0,1.0
"z_innov_s[AL, 2019-02-24 00:00:00]",0.11,0.961,-1.695,1.926,0.009,0.014,12750.0,4664.0,1.0
"z_innov_s[AL, 2019-03-03 00:00:00]",0.15,0.939,-1.603,1.898,0.009,0.014,10440.0,4075.0,1.0
"z_innov_s[AL, 2019-03-10 00:00:00]",0.164,0.962,-1.648,1.923,0.009,0.014,10894.0,4265.0,1.0
"z_innov_s[AL, 2019-03-17 00:00:00]",0.229,0.949,-1.626,1.977,0.009,0.013,10253.0,4254.0,1.0
"z_innov_s[AL, 2019-03-24 00:00:00]",0.331,0.945,-1.492,2.071,0.009,0.013,12263.0,4493.0,1.0
"z_innov_s[AL, 2019-03-31 00:00:00]",0.304,0.954,-1.507,2.111,0.009,0.013,10843.0,4762.0,1.0
"z_innov_s[AL, 2019-04-07 00:00:00]",0.403,0.958,-1.413,2.178,0.009,0.014,10827.0,4465.0,1.0
"z_innov_s[AL, 2019-04-14 00:00:00]",0.45,0.967,-1.382,2.232,0.009,0.015,10780.0,4505.0,1.0
"z_innov_s[AL, 2019-04-21 00:00:00]",0.545,0.965,-1.249,2.39,0.01,0.014,10260.0,4307.0,1.0
"z_innov_s[AL, 2019-04-28 00:00:00]",0.582,0.943,-1.303,2.271,0.009,0.014,10950.0,3952.0,1.0
"z_innov_s[AL, 2019-05-05 00:00:00]",0.559,0.951,-1.154,2.348,0.009,0.015,11388.0,4050.0,1.0
"z_innov_s[AL, 2019-05-12 00:00:00]",0.554,0.973,-1.143,2.493,0.009,0.014,10529.0,4471.0,1.0
"z_innov_s[AL, 2019-05-19 00:00:00]",0.575,0.919,-1.069,2.333,0.009,0.013,11093.0,4502.0,1.0
"z_innov_s[AL, 2019-05-26 00:00:00]",0.524,0.943,-1.228,2.28,0.009,0.014,10845.0,4314.0,1.0
"z_innov_s[AL, 2019-06-02 00:00:00]",0.488,0.954,-1.411,2.158,0.009,0.014,11060.0,4281.0,1.0
"z_innov_s[AL, 2019-06-09 00:00:00]",0.446,0.952,-1.346,2.202,0.009,0.014,11910.0,4635.0,1.0
"z_innov_s[AL, 2019-06-16 00:00:00]",0.454,0.931,-1.308,2.194,0.009,0.014,11140.0,4292.0,1.0
"z_innov_s[AL, 2019-06-23 00:00:00]",0.393,0.928,-1.307,2.14,0.009,0.013,10478.0,4333.0,1.0
"z_innov_s[AL, 2019-06-30 00:00:00]",0.382,0.931,-1.36,2.095,0.008,0.013,12094.0,4835.0,1.0
"z_innov_s[AL, 2019-07-07 00:00:00]",0.261,0.937,-1.52,2.015,0.009,0.016,10314.0,4152.0,1.0
"z_innov_s[AL, 2019-07-14 00:00:00]",0.308,0.954,-1.453,2.117,0.009,0.013,10319.0,4563.0,1.0
"z_innov_s[AL, 2019-07-21 00:00:00]",0.177,0.918,-1.541,1.882,0.008,0.013,11998.0,4441.0,1.0
"z_innov_s[AL, 2019-07-28 00:00:00]",0.159,0.933,-1.592,1.829,0.009,0.012,10154.0,4674.0,1.0
"z_innov_s[AL, 2019-08-04 00:00:00]",0.188,0.912,-1.639,1.786,0.009,0.012,11280.0,4786.0,1.0
"z_innov_s[AL, 2019-08-11 00:00:00]",0.115,0.95,-1.642,1.955,0.009,0.015,11568.0,4161.0,1.0
"z_innov_s[AL, 2019-08-18 00:00:00]",0.019,0.938,-1.79,1.688,0.008,0.014,13291.0,4325.0,1.0
"z_innov_s[AL, 2019-08-25 00:00:00]",-0.088,0.939,-1.904,1.615,0.009,0.013,10503.0,4381.0,1.0
"z_innov_s[AL, 2019-09-01 00:00:00]",-0.039,0.972,-1.923,1.722,0.01,0.014,10174.0,4500.0,1.0
"z_innov_s[AL, 2019-09-08 00:00:00]",-0.076,0.935,-1.882,1.604,0.009,0.014,11506.0,4324.0,1.0
"z_innov_s[AL, 2019-09-15 00:00:00]",-0.301,0.952,-1.997,1.599,0.009,0.014,11241.0,4430.0,1.0
"z_innov_s[AL, 2019-09-22 00:00:00]",-0.354,0.942,-2.143,1.39,0.009,0.013,11262.0,4662.0,1.0
"z_innov_s[AL, 2019-09-29 00:00:00]",-0.342,0.944,-2.114,1.404,0.009,0.012,10760.0,4784.0,1.0
"z_innov_s[AL, 2019-10-06 00:00:00]",-0.399,0.928,-2.118,1.37,0.009,0.014,10153.0,4298.0,1.0
"z_innov_s[AL, 2019-10-13 00:00:00]",-0.495,0.928,-2.245,1.244,0.009,0.013,10207.0,4242.0,1.0
"z_innov_s[AL, 2019-10-20 00:00:00]",-0.629,0.945,-2.412,1.101,0.009,0.013,11178.0,4513.0,1.0
"z_innov_s[AL, 2019-10-27 00:00:00]",-0.622,0.936,-2.341,1.155,0.009,0.013,12016.0,4525.0,1.0
"z_innov_s[AL, 2019-11-03 00:00:00]",-0.535,0.932,-2.31,1.212,0.009,0.012,9728.0,4874.0,1.0
"z_innov_s[AL, 2019-11-10 00:00:00]",-0.494,0.929,-2.284,1.187,0.009,0.014,11530.0,4053.0,1.0
"z_innov_s[AL, 2019-11-17 00:00:00]",-0.509,0.967,-2.36,1.278,0.009,0.015,11954.0,3955.0,1.0
"z_innov_s[AL, 2019-11-24 00:00:00]",-0.485,0.937,-2.184,1.325,0.009,0.013,10622.0,4617.0,1.0
"z_innov_s[AL, 2019-12-01 00:00:00]",-0.521,0.961,-2.319,1.289,0.009,0.014,11187.0,3995.0,1.0
"z_innov_s[AL, 2019-12-08 00:00:00]",-0.603,0.951,-2.435,1.148,0.009,0.013,10988.0,4414.0,1.0
"z_innov_s[AL, 2019-12-15 00:00:00]",-0.619,0.978,-2.55,1.151,0.01,0.014,10160.0,4236.0,1.0
"z_innov_s[AL, 2019-12-22 00:00:00]",-0.634,0.949,-2.424,1.124,0.009,0.013,10749.0,4724.0,1.0
"z_innov_s[AL, 2019-12-29 00:00:00]",-0.506,0.961,-2.301,1.273,0.01,0.013,9462.0,4362.0,1.0
"z_innov_s[AL, 2020-01-05 00:00:00]",-0.414,0.983,-2.351,1.304,0.009,0.014,11851.0,4344.0,1.0
"z_innov_s[AL, 2020-01-12 00:00:00]",-0.282,0.965,-2.113,1.407,0.009,0.014,10981.0,4256.0,1.0
"z_innov_s[AL, 2020-01-19 00:00:00]",-0.165,0.952,-1.89,1.651,0.009,0.013,12178.0,4309.0,1.0
"z_innov_s[AL, 2020-01-26 00:00:00]",-0.051,0.947,-1.767,1.767,0.009,0.013,12437.0,4609.0,1.0
"z_innov_s[AL, 2020-02-02 00:00:00]",-0.113,0.97,-1.898,1.746,0.009,0.014,11565.0,4333.0,1.0
"z_innov_s[AL, 2020-02-09 00:00:00]",-0.056,0.959,-1.885,1.668,0.009,0.014,10778.0,4344.0,1.0
"z_innov_s[AL, 2020-02-16 00:00:00]",-0.015,0.985,-1.972,1.704,0.009,0.014,11252.0,4475.0,1.0
"z_innov_s[AL, 2020-02-23 00:00:00]",-0.043,0.967,-1.946,1.655,0.01,0.015,10225.0,4141.0,1.0
"z_innov_s[AL, 2020-03-01 00:00:00]",-0.09,0.975,-1.891,1.734,0.009,0.014,12310.0,4491.0,1.0
"z_innov_s[AL, 2020-03-08 00:00:00]",-0.003,0.97,-1.811,1.821,0.009,0.014,10539.0,4575.0,1.0
"z_innov_s[AL, 2020-03-15 00:00:00]",0.023,0.96,-1.758,1.906,0.009,0.015,11259.0,4264.0,1.0
"z_innov_s[AL, 2020-03-22 00:00:00]",0.142,0.955,-1.69,1.893,0.01,0.014,9355.0,4060.0,1.0
"z_innov_s[AL, 2020-03-29 00:00:00]",0.218,0.953,-1.625,1.941,0.009,0.014,11693.0,4415.0,1.0
"z_innov_s[AL, 2020-04-05 00:00:00]",0.356,0.96,-1.472,2.141,0.01,0.015,9341.0,4421.0,1.0
"z_innov_s[AL, 2020-04-12 00:00:00]",0.389,0.94,-1.339,2.175,0.009,0.013,11399.0,4297.0,1.0
"z_innov_s[AL, 2020-04-19 00:00:00]",0.32,0.932,-1.441,2.022,0.01,0.013,9557.0,4592.0,1.0
