parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"z_innov_s[AL, 2015-05-17 00:00:00]",0.4,0.918,-1.349,2.074,0.009,0.012,9424.0,4607.0,1.0
"z_innov_s[AL, 2015-05-24 00:00:00]",0.477,0.929,-1.218,2.238,0.009,0.013,9842.0,4742.0,1.0
"z_innov_s[AL, 2015-05-31 00:00:00]",0.496,0.94,-1.263,2.26,0.009,0.013,12180.0,4703.0,1.0
"z_innov_s[AL, 2015-06-07 00:00:00]",0.487,0.958,-1.238,2.37,0.01,0.014,9574.0,4335.0,1.0
"z_innov_s[AL, 2015-06-14 00:00:00]",0.581,0.952,-1.244,2.339,0.008,0.013,13241.0,4759.0,1.0
"z_innov_s[AL, 2015-06-21 00:00:00]",0.298,0.919,-1.34,2.097,0.009,0.013,9385.0,4772.0,1.0
"z_innov_s[AL, 2015-06-28 00:00:00]",0.21,0.953,-1.559,1.996,0.008,0.015,13745.0,4040.0,1.0
"z_innov_s[AL, 2015-07-05 00:00:00]",0.112,0.937,-1.703,1.8,0.009,0.013,10189.0,4122.0,1.0
"z_innov_s[AL, 2015-07-12 00:00:00]",-0.089,0.942,-1.835,1.718,0.009,0.014,11082.0,4525.0,1.0
"z_innov_s[AL, 2015-07-19 00:00:00]",-0.132,0.96,-2.002,1.605,0.009,0.013,10401.0,4726.0,1.0
"z_innov_s[AL, 2015-07-26 00:00:00]",-0.165,0.958,-1.979,1.618,0.008,0.013,12741.0,4442.0,1.0
"z_innov_s[AL, 2015-08-02 00:00:00]",-0.087,0.963,-1.968,1.675,0.009,0.013,11672.0,4557.0,1.0
"z_innov_s[AL, 2015-08-09 00:00:00]",-0.042,0.93,-1.809,1.649,0.009,0.014,9731.0,4126.0,1.0
"z_innov_s[AL, 2015-08-16 00:00:00]",-0.129,0.965,-1.902,1.639,0.009,0.013,10813.0,5011.0,1.0
"z_innov_s[AL, 2015-08-23 00:00:00]",-0.097,0.955,-1.898,1.635,0.009,0.013,11609.0,4559.0,1.0
"z_innov_s[AL, 2015-08-30 00:00:00]",-0.046,0.964,-1.932,1.712,0.009,0.014,12511.0,4283.0,1.0
"z_innov_s[AL, 2015-09-06 00:00:00]",0.077,0.967,-1.729,1.848,0.009,0.014,10426.0,4397.0,1.0
"z_innov_s[AL, 2015-09-13 00:00:00]",0.102,0.945,-1.675,1.92,0.009,0.013,10388.0,4172.0,1.0
"z_innov_s[AL, 2015-09-20 00:00:00]",0.153,0.951,-1.61,1.955,0.009,0.015,10376.0,4003.0,1.0
"z_innov_s[AL, 2015-09-27 00:00:00]",0.265,0.953,-1.574,1.97,0.009,0.013,10747.0,4258.0,1.0
"z_innov_s[AL, 2015-10-04 00:00:00]",0.295,0.949,-1.432,2.049,0.009,0.013,10587.0,4777.0,1.0
"z_innov_s[AL, 2015-10-11 00:00:00]",0.42,0.979,-1.305,2.39,0.009,0.015,11260.0,4206.0,1.0
