parameter,r_hat,ess_bulk
z_innov_s|AL|2015-12-27 00:00:00,1.0803205530361912,38.6593402798599
z_innov_s|AL|2016-01-03 00:00:00,1.0198103697134764,106.45921360573159
z_innov_s|AL|2016-01-10 00:00:00,1.0104069967072538,141.5877830594898
z_innov_s|AL|2016-01-17 00:00:00,1.010530549381902,190.31860704998613
z_innov_s|AL|2016-01-24 00:00:00,1.0628519068380482,39.63325942594888
z_innov_s|AL|2016-01-31 00:00:00,1.0229296042378793,140.9381258615377
z_innov_s|AL|2016-02-07 00:00:00,1.0112200678821348,136.26117793779613
z_innov_s|AL|2016-02-14 00:00:00,1.0643472090872226,60.706979746941556
z_innov_s|AL|2016-02-21 00:00:00,1.0049410866159936,193.58189184090477
z_innov_s|AL|2016-02-28 00:00:00,1.022393016241698,143.8115513804516
z_innov_s|AL|2016-03-06 00:00:00,1.0094999211846918,172.83425070586378
z_innov_s|AL|2016-03-13 00:00:00,1.0163661757013456,141.13656962780647
z_innov_s|AL|2016-03-20 00:00:00,1.0192885967083904,132.44541234598583
z_innov_s|AL|2016-03-27 00:00:00,1.0148346898509202,170.63897856046574
z_innov_s|AL|2016-04-03 00:00:00,0.9982150437543496,216.515659224267
z_innov_s|AL|2016-04-10 00:00:00,1.0026759796973348,180.35432329607553
z_innov_s|AL|2016-04-17 00:00:00,1.0114098311902813,185.0145810525429
z_innov_s|AL|2016-04-24 00:00:00,1.0237711920992358,81.811444876524
z_innov_s|AL|2016-05-01 00:00:00,1.0301950663655075,106.33804825795349
z_innov_s|AL|2016-05-08 00:00:00,1.0273724937631348,112.10173855028073
z_innov_s|AL|2016-05-15 00:00:00,1.0138201535737184,175.21188999973066
z_innov_s|AL|2016-05-22 00:00:00,1.0165447993416554,136.70425879056856
z_innov_s|AL|2016-05-29 00:00:00,1.0163983877466833,190.29196378276572
z_innov_s|AL|2016-06-05 00:00:00,1.0193160715211518,167.5897880697839
z_innov_s|AL|2016-06-12 00:00:00,1.0331976663922384,107.93629819435314
z_innov_s|AL|2016-06-19 00:00:00,1.0659791061012762,40.04325097055598
z_innov_s|AL|2016-06-26 00:00:00,1.0092887633203869,183.48984807510953
z_innov_s|AL|2016-07-03 00:00:00,1.0227425513751616,120.40149927093091
z_innov_s|AL|2016-07-10 00:00:00,1.0204728382494574,87.64697069902044
z_innov_s|AL|2016-07-17 00:00:00,1.0312004513331747,95.25090444059141
z_innov_s|AL|2016-07-24 00:00:00,1.003854236062376,126.3422445632094
z_innov_s|AL|2016-07-31 00:00:00,1.0293993168043782,185.89396684490052
z_innov_s|AL|2016-08-07 00:00:00,1.0245321464373156,160.5684230479944
z_innov_s|AL|2016-08-14 00:00:00,1.0142361519830405,131.10221000356086
z_innov_s|AL|2016-08-21 00:00:00,1.083450973311662,43.817641566739795
z_innov_s|AL|2016-08-28 00:00:00,1.0365586809330485,168.67714370976677
z_innov_s|AL|2016-09-04 00:00:00,1.0422270655410695,127.42221270777775
z_innov_s|AL|2016-09-11 00:00:00,1.017516654680693,157.16221415844583
