run_id,date,district,risk_score,risk_mean,risk_q05,risk_q95,threshold_cases,risk_score_basis,decision_threshold_used,decision_cost,decision_loss,alert_threshold_yellow,alert_threshold_orange,alert_threshold_red,decision_policy_version,alert_level,recommended_action
20260307T103513Z-87041b65,2016-10-16,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2016-10-23,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2016-10-30,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2016-11-06,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2016-11-13,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2016-11-20,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2016-11-27,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2016-12-04,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2016-12-11,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2016-12-18,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2016-12-25,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2017-01-01,Aimorés,0.2129257347881794,0.2129257347881794,0.2129257347881794,0.2129257347881794,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,1
20260307T103513Z-87041b65,2017-01-08,Aimorés,0.207256209269166,0.207256209269166,0.207256209269166,0.207256209269166,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,1
20260307T103513Z-87041b65,2017-01-15,Aimorés,0.21234364899992944,0.21234364899992944,0.21234364899992944,0.21234364899992944,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,1
20260307T103513Z-87041b65,2017-01-22,Aimorés,0.20155670800805092,0.20155670800805092,0.20155670800805092,0.20155670800805092,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,1
20260307T103513Z-87041b65,2017-01-29,Aimorés,0.20876583868265153,0.20876583868265153,0.20876583868265153,0.20876583868265153,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,1
20260307T103513Z-87041b65,2017-02-05,Aimorés,0.27065223053097726,0.27065223053097726,0.27065223053097726,0.27065223053097726,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,1
20260307T103513Z-87041b65,2017-02-12,Aimorés,0.27844923692941664,0.27844923692941664,0.27844923692941664,0.27844923692941664,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,1
20260307T103513Z-87041b65,2017-02-19,Aimorés,0.26544243440032006,0.26544243440032006,0.26544243440032006,0.26544243440032006,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,1
20260307T103513Z-87041b65,2017-02-26,Aimorés,0.27656990638375284,0.27656990638375284,0.27656990638375284,0.27656990638375284,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,1
20260307T103513Z-87041b65,2017-03-05,Aimorés,0.3383523274064064,0.3383523274064064,0.3383523274064064,0.3383523274064064,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,YELLOW,1
20260307T103513Z-87041b65,2017-03-12,Aimorés,0.3283338750600815,0.3283338750600815,0.3283338750600815,0.3283338750600815,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,YELLOW,1
20260307T103513Z-87041b65,2017-03-19,Aimorés,0.335615237891674,0.335615237891674,0.335615237891674,0.335615237891674,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,YELLOW,1
20260307T103513Z-87041b65,2017-03-26,Aimorés,0.34544422367215155,0.34544422367215155,0.34544422367215155,0.34544422367215155,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,YELLOW,1
20260307T103513Z-87041b65,2017-04-02,Aimorés,0.3782897629737854,0.3782897629737854,0.3782897629737854,0.3782897629737854,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,YELLOW,1
20260307T103513Z-87041b65,2017-04-09,Aimorés,0.36722553545236586,0.36722553545236586,0.36722553545236586,0.36722553545236586,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,YELLOW,1
20260307T103513Z-87041b65,2017-04-16,Aimorés,0.3716092134714127,0.3716092134714127,0.3716092134714127,0.3716092134714127,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,YELLOW,1
20260307T103513Z-87041b65,2017-04-23,Aimorés,0.3659020973443985,0.3659020973443985,0.3659020973443985,0.3659020973443985,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,YELLOW,1
20260307T103513Z-87041b65,2017-04-30,Aimorés,0.37301726412773134,0.37301726412773134,0.37301726412773134,0.37301726412773134,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,YELLOW,1
20260307T103513Z-87041b65,2017-05-07,Aimorés,0.33672123980522156,0.33672123980522156,0.33672123980522156,0.33672123980522156,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,YELLOW,1
20260307T103513Z-87041b65,2017-05-14,Aimorés,0.32204443234205243,0.32204443234205243,0.32204443234205243,0.32204443234205243,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,YELLOW,1
20260307T103513Z-87041b65,2017-05-21,Aimorés,0.34727573055028915,0.34727573055028915,0.34727573055028915,0.34727573055028915,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,YELLOW,1
20260307T103513Z-87041b65,2017-05-28,Aimorés,0.33161647990345955,0.33161647990345955,0.33161647990345955,0.33161647990345955,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,YELLOW,1
20260307T103513Z-87041b65,2017-06-04,Aimorés,0.27306536892056466,0.27306536892056466,0.27306536892056466,0.27306536892056466,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,1
20260307T103513Z-87041b65,2017-06-11,Aimorés,0.2813269402086735,0.2813269402086735,0.2813269402086735,0.2813269402086735,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,1
