parameter,r_hat,ess_bulk
alpha_raw|Ipatinga,1.0011184213694728,994.7975739145444
alpha_raw|Ipojuca,1.0047947406764015,697.3453886941744
alpha_raw|Irauçuba,1.0088110455435928,485.74183181111937
alpha_raw|Itaberaba,1.007244258523737,389.54785580253116
alpha_raw|Itaboraí,1.0150712989456314,539.2411076520052
alpha_raw|Itabuna,1.0042405418554787,504.2839923567412
alpha_raw|Itaperuna,1.013326907186129,550.9985344742199
alpha_raw|Jaboatão dos Guararapes,1.0045497712388889,695.0595180064928
alpha_raw|Ji-Paraná,1.0019407635230746,3477.3888312193617
alpha_raw|João Pessoa,1.001553321207195,2547.6051992523417
alpha_raw|Juazeiro,1.0077411548855886,390.5763975978149
alpha_raw|Lauro de Freitas,1.0078428816253322,379.1686999352316
alpha_raw|Macaíba,1.0012031270864628,1684.9443320361997
alpha_raw|Macaúbas,1.0074228394174087,402.6574712605719
alpha_raw|Maceió,1.0007543190160186,6750.093216713504
alpha_raw|Manaus,1.0001334802991513,6816.326924474064
alpha_raw|Mangaratiba,1.0090862771846147,628.1753472834197
alpha_raw|Maranguape,1.0085887678022465,489.6230271796821
alpha_raw|Maricá,1.0144710876503311,536.8345073783768
alpha_raw|Marituba,1.0006610549924027,1993.1244969370248
alpha_raw|Massapê,1.0092568765795513,459.28884899168327
alpha_raw|Milagres,1.010355286702661,463.57359375116886
alpha_raw|Montes Claros,1.0009397179426105,1033.2322435936549
alpha_raw|Mossoró,1.0004627110002455,1706.0355011338784
alpha_raw|Natal,1.000507776304936,1625.7860260383907
alpha_raw|Niterói,1.0139631804044191,550.8973275878221
alpha_raw|Nossa Senhora do Socorro,1.0018071081089432,2040.6970729851594
alpha_raw|Nova Iguaçu,1.0140572632617415,542.2409563308858
alpha_raw|Ocara,1.0091121554997993,476.97317023916554
alpha_raw|Olinda,1.0036395407167855,720.2539860078865
alpha_raw|Palmares,1.0034227012664683,727.5907789385602
alpha_raw|Palmas,1.0019917827423719,3201.8802010293925
alpha_raw|Parauapebas,1.001033022767525,1895.0290632504218
alpha_raw|Parnamirim,1.0012748409082155,1685.194259177605
alpha_raw|Paulista,1.0048787542051125,704.1944072758633
alpha_raw|Paulo Afonso,1.006509845244439,414.14904620093824
alpha_raw|Petrolina,1.004465589954251,723.5955708633396
alpha_raw|Picos,1.0007976627065645,4161.146810210713
alpha_raw|Porciúncula,1.0124248905870281,588.3904044917917
alpha_raw|Porto Nacional,1.0010745811445037,3265.6304897259265
alpha_raw|Porto Seguro,1.0054606620481075,458.3099612114165
alpha_raw|Porto Velho,1.0012061060803399,3134.8036746841058
alpha_raw|Queimadas,1.000484600043877,2672.734952560649
alpha_raw|Queimados,1.0079136421582662,647.4131109213125
alpha_raw|Quipapá,1.0026959009427978,750.126015499856
alpha_raw|Quixeramobim,1.0099815256843498,458.3071195725039
alpha_raw|Quixeré,1.0087380648052175,477.89393278813134
alpha_raw|Recife,1.005171454903198,693.145747475615
alpha_raw|Reriutaba,1.00974049336308,479.33534700988025
alpha_raw|Resplendor,1.0016201856933196,963.9196196727684
alpha_raw|Riachão do Jacuípe,1.0068795354434523,393.25802340433296
